Resumption of the session	Wiederaufnahme der Sitzungsperiode
These amendments deal with the social economy and the need to provide social risk capital and support financially local schemes to develop employment opportunities and strengthen social cohesion.	Darin geht es um die Sozialwirtschaft und die Notwendigkeit der Bereitstellung von "social risk capital " und der finanziellen Unterstützung von lokalen Programmen zur Schaffung von Beschäftigungsmöglichkeiten und zur Stärkung des sozialen Zusammenhalts.
In the past, this Parliament has viewed the social economy as an important potential provider of employment.	Das Parlament sah in der Sozialwirtschaft stets einen wichtigen potentiellen Anbieter von Beschäftigungsmöglichkeiten.
These amendments also fit in with this Parliament's view that social exclusion is a serious issue needing constructive action.	Die genannten Änderungsanträge decken sich mit der vom Parlament vertretenen Ansicht, daß die soziale Ausgrenzung ein ernstes Problem darstellt, das konstruktive Maßnahmen erfordert.
We hope that those considering rejection of these amendments have very powerful reasons to offer to both Parliament and their citizens who are seeking employment.	Wir hoffen, daß diejenigen, die eine Ablehnung dieser Änderungsanträge in Betracht ziehen, sowohl dem Parlament als auch ihren Arbeit suchenden Bürgern triftige Gründe für ihre Entscheidung nennen können.
In her report, Mrs Flautre also drew attention to an area where coordination is sorely lacking, yet desperately needed.	Frau Flautre verwies in ihrem Bericht auch auf einen Bereich, dem es stark an Koordinierung mangelt, wenngleich gerade hier beträchtlicher Koordinierungsbedarf besteht.
The Commission proposals refer to the four pillars of employment strategy and the five fields of action of the European Social Fund.	Die Vorschläge der Kommission beziehen sich auf die vier Pfeiler der Beschäftigungsstrategie und die fünf Aktionsbereiche des Europäischen Sozialfonds.
But the lack of specific guidelines here is particularly to be regretted, as the idea of linking Social Fund assistance to the employment strategy will be put into effect for the first time during the 2000-2006 programme.	Doch das Fehlen konkreter Leitlinien ist um so bedauerlicher, als die Idee, die ESF-Interventionen mit der Beschäftigungsstrategie zu verknüpfen, im Planungszeitraum 2000-2006 erstmals umgesetzt wird.
It could be said that the omission gives the impression that the Commission too has no idea how to provide maximum coordination between European Social Fund assistance, which is subject to review after three and a half years, and the Member States' annual national plans for employment.	Dieses Versäumnis weckt jedenfalls den Eindruck, daß auch die Kommission nicht weiß, wie eine möglichst umfassende Koordinierung zwischen den ESF-Interventionen, die nach dreieinhalb Jahren einer Prüfung unterliegen, und den jährlichen Nationalen Aktionsplänen für die Beschäftigung der Mitgliedstaaten zu bewerkstelligen ist.
We hope that the Commission can reassure us that this was an oversight which is now being dealt with constructively.	Wir hoffen, daß uns die Kommission davon überzeugen kann, daß es sich dabei lediglich um ein Versehen handelt, das umgehend korrigiert wird.
Mr President, Commissioner, the proposal presented by the Commission, in accordance with its mandate, is a reasonable starting point for the Committee on Agriculture and Rural Development.	Herr Präsident, Herr Kommissar, meine Damen und Herren! Der von der Kommission in Erfüllung ihres Mandats unterbreitete Vorschlag ist für den Ausschuß für Landwirtschaft und ländliche Entwicklung ein vernünftiger Ausgangspunkt.
I would like to point out, however, that this starting point indicates to us the challenges which face us: maintaining a population in rural areas, given the changes taking place in all types of economic activity owing to agriculture' s increasing lack of importance amongst the various sources of income for rural society.	Ich möchte allerdings an dieser Stelle hervorheben, daß uns dieser Ausgangspunkt die vor uns stehenden Herausforderungen aufzeigt: angesichts der Veränderungen in den wirtschaftlichen Tätigkeiten aller Art infolge der schwindenden Bedeutung des Landwirtschaftssektors innerhalb der verschiedenen Einkommensquellen der ländlichen Gesellschaft die Bevölkerung im ländlichen Raum zu halten.
This, as well as the deficiencies in the networks of infrastructures and services and a generally very low level of employment, which furthermore is seasonal and lacks diversity, exacerbates the exodus from rural areas.	Zusammen mit den Unzulänglichkeiten in der Infrastruktur und im Dienstleistungsbereich und einem allgemein sehr spärlichen, stark saisonabhängigen und wenig diversifizierten Beschäftigungsangebot verstärken sie die Abwanderung aus den ländlichen Gebieten.
The consequences do not inspire hope.	Die Folgen lassen nicht auf sich warten.
It is the young people who are disappearing, who are getting an education and finding work outside of the rural areas, all of which has an unfavourable effect on those areas.	Es sind die jungen Menschen, die abwandern, diejenigen, die Ausbildung und Beschäftigung außerhalb der ländlichen Gebiete finden, was sich in diesen Regionen sehr ungünstig auswirkt.
This lack of infrastructure is also an obstacle to the establishment of companies and the creation of jobs.	Diese fehlende Infrastruktur ist wiederum ein Hindernis für die Ansiedlung von Unternehmen und die Schaffung von Arbeitsplätzen.
We have to remember that rural areas represent almost four fifths of the territory of the European Union.	Man muß sich vor Augen halten, daß der ländliche Raum nahezu vier Fünftel des Territoriums der Europäischen Union ausmacht.
Agriculture only provides 5.5% of employment in the Union.	Die Landwirtschaft stellt nur 5,5 % der Arbeitsplätze der Union.
Furthermore, three quarters of our farm workers are part-time and require supplements to their incomes.	Darüber hinaus sind drei Viertel unserer Landwirte Nebenerwerbslandwirte und auf zusätzliche Einkommensquellen angewiesen.
For this reason, one of the most important and essential objectives which we should set in the European Union is to make efforts to create new jobs in rural areas, outside of the agricultural sector, in sectors such as rural tourism, sport, culture, heritage conservation, the conversion of businesses, new technologies, services, etc. However, even though the role of agriculture is not exclusive, it is still essential, not only to prevent economic and social disintegration and the creation of ghost towns, but also because farmers play a fundamental role in managing the land, in preserving biodiversity and in protecting the environment.	Aus diesem Grund ist es eines der wichtigsten und weitreichendsten Ziele, die wir uns in der Europäischen Union stellen sollten, Anstrengungen zur Schaffung neuer Arbeitsplätze in den ländlichen Gebieten außerhalb des Agrarsektors zu unternehmen, unter anderem in den Bereichen ländlicher Tourismus, Sport, Kultur, Sanierung der Ressourcen, Umstellung von Unternehmen, neue Technologien, Dienstleistungen usw. Doch obwohl die Landwirtschaft keine ausschließliche Rolle mehr spielt, ist sie weiterhin wichtig, nicht nur, um den wirtschaftlichen und sozialen Niedergang der ländlichen Gebiete und das Entstehen von weiteren Geisterstädten zu verhindern, sondern auch, weil den Landwirten eine grundlegende Rolle bei der Bewirtschaftung des Territoriums, dem Erhalt der Artenvielfalt und dem Umweltschutz zukommt.
Therefore, we support the establishment of an agricultural and rural development policy which is consistent with the objectives we have set. We want rural areas, at the dawn of the 21st century, to be competitive and multi-functional, both with regard to agriculture and with regard to opening up to the diversity of non-agricultural activities.	Deshalb treten wir für eine Landwirtschaftspolitik und eine ländliche Entwicklung ein, die mit unseren Zielen im Einklang steht, sowie dafür, daß die ländlichen Gebiete an der Schwelle zum 21. Jahrhundert wettbewerbsfähig und multifunktional sein müssen, sowohl in bezug auf den landwirtschaftlichen Aspekt als auch hinsichtlich der Öffnung für die Vielfalt nicht landwirtschaftlicher Tätigkeiten.
It is important to prioritise general criteria for land planning and demographic equilibrium, and to bear in mind the conclusions of the Committee on Agriculture and Rural Development on the five fundamental issues, which have been only partly taken up by the Committee on Transport, Regional Policy and Tourism in its points 16 and 17.	Es ist wichtig, allgemeinen Kriterien der Raumordnung und der ausgewogenen Bevölkerungsstruktur vorrangige Beachtung zu schenken und die Schlußfolgerungen zu berücksichtigen, zu denen der Ausschuß für Landwirtschaft und ländliche Entwicklung in fünf Hauptaspekten gelangt ist, die nur teilweise vom Ausschuß für Regionalpolitik, Verkehr und Fremdenverkehr in seinen Punkten 16 und 17 aufgegriffen worden sind.
In conclusion, I would ask the Commission to take these five points into account when establishing the conclusions on the four pillars because I believe that, for the European Union, maintaining the population in rural areas must be one of the priority objectives.	Abschließend möchte ich die Kommission ersuchen, diese fünf Punkte bei der Formulierung der Schlußfolgerungen der vier Pfeiler zu berücksichtigen, denn nach meiner Auffassung muß die Bindung der Bevölkerung an den ländlichen Raum eines der vorrangigen Ziele der Europäischen Union bilden.
Mr President, Commissioner, I would like to begin by thanking Mrs Schroedter, the rapporteur, for her work.	Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Ich möchte meinen Redebeitrag mit einem Dank an Frau Schroedter, der Berichterstatterin, für die geleistete Arbeit einleiten.
I think that this work has been carried out extremely well.	Ich meine, es ist eine sehr gute Arbeit.
I would also like to thank her for her willingness to enter into dialogue with the other political groups when compromise formulas have needed to be reached in the face of this avalanche of amendments - and perhaps there are more of them than we expected - but which genuinely reflect the importance of the report we are now discussing.	Außerdem möchte ich ihr für ihre Bereitschaft zum Dialog mit den übrigen Fraktionen bei der Suche nach Kompromißformeln angesichts dieser Lawine von Änderungsanträgen danken; es waren vielleicht mehr als erwartet, aber sie tragen eigentlich der Bedeutung des hier behandelten Berichts Rechnung.
We feel that it is important that the Commission takes account of the conclusions adopted by this Parliament, at least in spirit, because at this stage, it might seem as though what we are doing here is a useless exercise, and nothing but hot air.	Für uns ist es wichtig, daß die in diesem Parlament gebilligten Schlußfolgerungen von der Kommission, zumindest ihrem Wesen nach, berücksichtigt werden, denn bei dem nunmehr erreichten Stand könnte es so aussehen, als gäben wir uns hier einer unnütze, rein rhetorischen Tätigkeit hin.
The truth of the matter though is that we believe - and this is also shown in the way the conclusions have been drafted - that the Commission must take account of what is adopted by this Parliament, particularly in the face of an interim revision of these directives.	Wir sind indes der Ansicht und das spiegelt sich auch wörtlich in den Schlußfolgerungen wider , daß die Kommission die Beschlüsse dieses Parlaments in Betracht ziehen muß, vor allem im Hinblick auf die Halbzeitbewertung dieser Leitlinien.
In our amendments, we have stated the importance of the necessary synergies being produced between the Structural Funds, the Cohesion Fund and Community initiatives, so that their application should be reflected, in the best and most profitable way, by the gradual elimination of disparities between regions and by the creation of jobs which are, when all is said and done, the two central purposes of the funds we are discussing.	In unseren Änderungsanträgen haben wir festgeschrieben, welche Bedeutung wir der Herausbildung der notwendigen Synergien zwischen den Strukturfonds, dem Kohäsionsfonds und den Gemeinschaftsinitiativen beimessen, so daß ihre Anwendung auf optimale und rentabelste Weise im zunehmenden Abbau der regionalen Ungleichheiten und in der Schaffung von Arbeitsplätzen ihren Niederschlag findet, die letztendlich die beiden Hauptziele der hier zur Debatte stehenden Fonds sind.
In order to achieve a more rapid and efficient boost for attaining these objectives, we think that those who generate employment, the real entrepreneurs and those who really guarantee new sources of employment, that is, businesspeople, must participate in this initiative.	Um der Erreichung dieser Ziele einen schnellen und wirksamen Impuls zu verleihen, halten wir es für notwendig, daß die Unternehmer, das heißt diejenigen, die Arbeitsplätze schaffen, die wirklichen Unternehmergeist zeigen und tatsächlich neue Beschäftigungsquellen garantieren, in diese Initiative eingebunden werden.
Small and medium-sized businesses, above all, need to take part in the distribution of these funds.	Vor allem die kleinen und mittleren Unternehmer müssen in die Verteilung dieser Fonds einbezogen werden.
If they do not, if businesspeople feel marginalised, if entrepreneurs cannot take part, not only in managing but also in receiving these funds, we will have missed an opportunity to attain our objectives more rapidly.	Wenn sich die Unternehmer dagegen an den Rand gedrängt fühlen, wenn sie nicht mitwirken können ich sage jetzt, nicht nur an der Verwaltung, sondern an der Entgegennahme dieser Fonds , werden wir eine Chance zur schnelleren Erreichung unserer Ziele verloren haben.
Also, in order to attain our objectives, to overcome the disparities between regions and to seek out sources of employment, it is crucial to give our complete support to new technologies, to transport and communications networks and to renewable energies.	Gleichfalls wichtig für das Erreichen unserer Ziele, für die Überwindung der regionalen Ungleichheiten und für die Erschließung von Arbeitsplätzen ist der entschlossene Einsatz für die neuen Technologien, für die Verkehrs- und Kommunikationsnetze und für die erneuerbaren Energien.
All of this must be done - I repeat - with the participation of private business, which, by uniting its efforts with those of public administrations, but complementing them, never obstructing or excluding them, will lead to the creation of wealth in society and of jobs.	Und dies alles - wohlgemerkt unter Mitwirkung der Privatwirtschaft, die ihre Anstrengungen mit denen der öffentlichen Verwaltungen vereint, damit sie sich ergänzen und sich zu keinem Zeitpunkt behindern oder ausschließen schafft gesellschaftlichen Reichtum und Arbeitsplätze.
Mr President, it is incumbent upon me to remind my colleague, Mr Evans, of why Wales actually achieved Objective 1 status.	Herr Präsident, ich halte es für meine Pflicht, meinen Kollegen Herrn Evans daran zu erinnern, weshalb Wales überhaupt zu einer Ziel-1-Region erklärt wurde.
It was because of the discredited policies of his own Conservative Party.	Das ist das Ergebnis der fragwürdigen Politik seiner Partei, der Konservativen.
Let me also remind him that when his party leader, Mr Hague, was Secretary of State for Wales, he broke every rule in the book on additionality which led to a stern letter from Commissioner Wulf-Mathies regarding regulatory requirements.	Vielleicht darf ich ihn auch daran erinnern, daß der Vorsitzende seiner Partei, Herr Hague, als er noch Minister für Wales war, sämtliche Regeln in bezug auf die Zusätzlichkeit verletzt hat, die man nur verletzen kann, und dafür von Kommissionsmitglied Wulf-Mathies schriftlich entschieden zur Ordnung gerufen wurde.
I can tell you that the British Government is aware of its regulatory requirements on Objective 1 additionality.	Ich kann Ihnen versichern, daß der britischen Regierung sehr wohl bekannt ist, daß für die Ziel-1-Regionen der Grundsatz der Zusätzlichkeit gilt.
I suggest Mr Evans goes back and reads the regulation.	Ich schlage vor, daß sich Herr Evans nochmals mit der entsprechenden Verordnung vertraut macht.
My Group has made extensive amendments to both reports up for debate today.	Meine Fraktion hat umfangreiche Änderungsvorschläge für beide heute zur Debatte stehenden Berichte erarbeitet.
I want to focus our minds on the essential role of the guidelines.	Ich meine, wir sollten uns auf die zentrale Rolle der Leitlinien konzentrieren.
The objective is to provide a framework and tool to support and enhance economic regeneration, to get the most effective use of resources in the widest partnership and to put these regions back on the road to recovery and sustainable development so that eventually they come off the regional life-support machine.	Es geht darum, einen Rahmen und ein Instrumentarium zu schaffen, um die wirtschaftliche Erneuerung zu unterstützen und zu fördern, um die Ressourcen möglichst effektiv und unter Einbeziehung möglichst vieler Partner zu nutzen und den betreffenden Regionen den Weg zum wirtschaftlichen Aufschwung und zur nachhaltigen Entwicklung zu ebnen, so daß diese schließlich vom Finanztropf genommen werden können.
It is important to identify the skills and potential of our regions in the hi-tech sector.	Wir müssen herausfinden, über welche Qualifikationen und Potentiale unsere Regionen im High-Tech-Sektor verfügen.
It is particularly important in the light of reports in the media that Europe is rapidly losing ground to the US in the hi-tech growth industries of the future.	Das ist angesichts von Medienberichten, denen zufolge Europa bei den zukunftsträchtigen High-Tech-Wachstumsbranchen gegenüber den USA immer mehr an Boden verliert, ganz besonders wichtig.
The operation of the previous round of programmes is also very instructive in telling us what guidelines should not be about.	Die Durchführung der letzten Programmrunde ist auch insofern sehr lehrreich, als daß sie verdeutlicht, worum es bei den Leitlinien nicht gehen sollte.
They should not be about creating additional layers of bureaucracy and red tape.	Es sollte nicht darum gehen, neue bürokratische Hindernisse zu errichten.
They should not be about shifting priorities and policies halfway through project development, resulting in inevitable delays and underspends, particularly in the light of the new budgetary requirement.	Es sollte nicht darum gehen, auf halbem Wege Änderungen an den Prioritäten und Politiken vorzunehmen, was zwangsläufig Verzögerungen und Nichtausschöpfung der Mittel zur Folge hat. Dies ist gerade im Hinblick auf die neuen Anforderungen an die Haushaltsdisziplin von Bedeutung.
The implementation and operation of the guidelines cannot be left to the personal interpretation of one or other desk officer, either in the Commission or in the civil service.	Die Umsetzung und Anwendung der Leitlinien kann nicht der persönlichen Auslegung durch diesen oder jenen Bediensteten in der Kommission oder im Staatsdienst überlassen werden.
There must be an internal coherence in the Commission directorate, while respecting the specific local and regional aspects of Commission programmes.	Innerhalb der zuständigen Direktion der Kommission ist für Einheitlichkeit zu sorgen, während gleichzeitig die spezifischen lokalen und regionalen Aspekte der Kommissionsprogramme zu berücksichtigen sind.
The conclusion is that we must make the case for guidelines to be broad, indicative and flexible to assist our programme managers and fund-users and to get the maximum potential out of our new fields of regeneration.	Daraus läßt sich ableiten, daß wir breite, indikative und flexible Leitlinien anstreben müssen, auf die sich sowohl unsere Programm-Manager als auch die Begünstigten stützen können und die zu einer maximalen Erschließung des Potentials der neuen Bereiche der wirtschaftlichen Erneuerung beitragen.
