Resumption of the session	Reprise de la session
The objective is to provide a framework and tool to support and enhance economic regeneration, to get the most effective use of resources in the widest partnership and to put these regions back on the road to recovery and sustainable development so that eventually they come off the regional life-support machine.	Le but est de fournir un cadre et un outil en vue de soutenir et de stimuler la régénération économique, d'obtenir la meilleure utilisation des ressources et ce, dans le cadre du plus large partenariat possible, et de réengager ces régions sur la voie du redressement et du développement durable afin qu'elles puissent finalement débrancher le respirateur artificiel régional.
It is important to identify the skills and potential of our regions in the hi-tech sector.	Il est important d'identifier les capacités et potentialités de nos régions dans le secteur de la haute technologie.
It is particularly important in the light of reports in the media that Europe is rapidly losing ground to the US in the hi-tech growth industries of the future.	En effet, les reportages des médias montrent particulièrement que l'Europe perd rapidement du terrain vis-à-vis des États-Unis dans les industries de la haute technologie de l'avenir, en pleine croissance.
The operation of the previous round of programmes is also very instructive in telling us what guidelines should not be about.	La réalisation des programmes précédents est également très instructive. Elle nous permet de déterminer en quoi les lignes directrices ne devraient pas consister.
They should not be about creating additional layers of bureaucracy and red tape.	Elles devraient éviter de créer des couches supplémentaires de bureaucratie et de paperasserie.
They should not be about shifting priorities and policies halfway through project development, resulting in inevitable delays and underspends, particularly in the light of the new budgetary requirement.	Elles devraient éviter le changement à mi-parcours des priorités et politiques du développement du projet, car celui-ci mène inévitablement à des retards et à une dépense seulement partielle des crédits disponibles, en particulier à la lumière des nouvelles exigences budgétaires.
The implementation and operation of the guidelines cannot be left to the personal interpretation of one or other desk officer, either in the Commission or in the civil service.	La mise en uvre et le fonctionnement des lignes directrices ne peut être laissée à l'interprétation personnelle d'un fonctionnaire ou l'autre de la Commission ou de la fonction publique.
There must be an internal coherence in the Commission directorate, while respecting the specific local and regional aspects of Commission programmes.	Il doit y avoir une cohérence interne dans la direction de la Commission, dans le respect des spécificités locales et des aspects régionaux des programmes de la Commission.
The conclusion is that we must make the case for guidelines to be broad, indicative and flexible to assist our programme managers and fund-users and to get the maximum potential out of our new fields of regeneration.	Pour conclure, je dirai que nous devons faire en sorte que les lignes directrices soient larges, indicatives et souples, afin d'aider nos gestionnaires de programmes et les utilisateurs des crédits et de valoriser au mieux les potentialités de nos nouveaux domaines de régénération.
If we can inject a spirit of entrepreneurial activity into our poor and structurally weak regions we will eventually get them back onto the road of attracting substantial investor confidence, which will be the key to future success.	Si nous parvenons à introduire l'esprit d'entreprise dans nos régions pauvres et structurellement faibles, elles regagneront la confiance des importants investisseurs, clé du succès à venir.
This is how we are going to judge the success of these guidelines: whether EU regional policy with a good, solid, enabling guideline, can open up new opportunities and allow our poor and structurally weak regions to play their full part in contributing to the growth and prosperity of the EU.	Nous considérerons que ces lignes directrices sont une réussite si la politique régionale de l'UE, par le biais de bonnes lignes directrices, solides et stimulantes, parvient à ouvrir de nouvelles perspectives et à permettre aux régions pauvres et structurellement faibles de participer pleinement à la croissance et à la prospérité de l'UE.
Mr President, Commissioner, I would like to thank Mrs Schroedter for an excellent report. She has gone into the issue in some depth and in the committee debate she took account of many of the amendments that have been tabled regarding this report.	Monsieur le Président, Monsieur le Commissaire, chers collègues, je tiens à remercier Mme Schroedter pour son excellent rapport ; elle s' est consacrée à fond à sa tâche et, lors de l' examen en commission, a tenu compte des nombreux amendements qui ont été apportés.
The rapporteur has also quite rightly stated that Parliament was not heard in time regarding the guidelines.	Le rapporteur constate également fort justement que le Parlement n' a pas été consulté en temps voulu au sujet des orientations.
We are badly behind now in this matter.	Nous sommes maintenant très en retard.
Hopefully, the stands Parliament has taken will help, however, in the mid-term appraisal of the programmes and in their practical implementation.	Espérons que les prises de position du Parlement européen seront quand même utiles dans l' évaluation à mi-parcours des programmes et dans la mise en uvre pratique.
For the time, the report grew too large when it was being debated.	Par rapport au moment où il nous arrive, ce rapport est devenu beaucoup trop vaste lors des examens successifs.
It contained details and issues that had already been raised in previous reports.	On y a intégré des questions de détail et des questions qui ont déjà été abordées dans des rapports antérieurs.
At this stage it is more important to concentrate on assessing how we can use this process to steer Union regional policy, bearing in mind that the aim is to reduce regional inequality.	Au stade où nous en sommes, il vaut mieux se consacrer à une réflexion sur la manière d' orienter la politique régionale communautaire, en gardant à l' esprit que l' objectif est la réduction des disparités régionales.
Our Group emphasises the importance of the principle of subsidiarity, the responsibility of Member States and the role of local players in drafting and implementing programmes.	Notre groupe met l' accent sur le principe de subsidiarité, sur la responsabilité des États membres et sur le rôle des acteurs locaux dans l' élaboration et la mise en uvre des programmes.
It is especially important to get SMEs involved in the planning and implementation of programmes.	Il est particulièrement important de faire participer les PME à cette élaboration et à cette mise en uvre.
Our Group also considers it important to take greater account of remote and peripheral areas and wishes to increase interaction between towns and rural areas.	Notre groupe estime également qu' il importe d' accorder une plus grande attention aux régions d' outre-mer et aux autres régions périphériques et veut que l' on augmente l' interaction entre la ville et la campagne.
We oppose the excessive control the central administration of the Union and its Member States exercises and we are calling for a reduction in the bureaucracy that has taken root in the drafting and implementation of programmes.	Nous nous opposons à l' interventionnisme de l' administration centrale de l' Union et de celle des États membres et nous demandons une réduction de la bureaucratie qui s' est incrustée dans l' élaboration et la réalisation des programmes.
Projects implemented with support from the Union have had their effect watered down all too often by slow decision making and complicated administrative processes.	L' efficacité des programmes mis en uvre avec le soutien de l' Union européenne a trop souvent dû souffrir d'une prise de décision trop lente et d' une gestion trop complexe.
Funds have often been granted for projects which have had no lasting benefit for the area concerned.	Souvent, des ressources ont été attribuées à des projets n' ayant laissé aucun profit durable à la région concernée.
Projects have to be carried out more efficiently, more flexibly and they have to be made more productive.	Il faudrait que les projets soient plus efficaces, plus souples et produisent plus de résultats.
While the report was being prepared, it was interesting to discuss the Union' s regional policy in general.	L' élaboration du rapport a été l' occasion de mener un intéressant débat sur la politique régionale communautaire en général.
For us new members, it was the first time, and this was a very interesting process.	C' était pour nous, nouveaux députés, la première fois, et c' est un processus extrêmement intéressant.
This report is very good and our Group supports it.	Ce rapport est tout à fait bon et notre groupe le soutient.
Mr President, Commissioner, as proof that this Parliament has not yet overcome its role as a consultative and subordinate institution, the excellent report by a fellow member of my Group, Elisabeth Schroedter, has not been able to reach plenary sitting because the plans for regional development for the period 2000-2006 for Objective 1 regions have been sitting in the Commission' s offices for several months.	Monsieur le Président, Monsieur le Commissaire, chers collègues, la preuve que ce Parlement n'a toujours pas dépassé la phase de l'institution consultative et subordonnée est que l'excellent rapport de ma collègue, Mme Elisabeth Schroedter, n'a pas pu parvenir en plénière parce que les plans de développement régional pour la période 2000-2006 pour les territoires de l'objectif 1 sont sur la table de la Commission depuis des mois.
Bearing this in mind, this House should, in any event, demand that, before the Community support frameworks for the period in question are approved, they be studied and submitted for debate in this Parliament, specifically in light of the guidelines that we have presented today.	Compte tenu de ce qui précède, nous devons exiger en tout cas, à partir de cette Assemblée, que les cadres communautaires d'appui pour la période en question soient étudiés et soumis au débat dans ce Parlement, avant leur adoption et à la lumière des orientations que nous présentons aujourd'hui.
This is because we think that they are particularly able to create employment in the poorest and least-developed regions and we would thus contribute to reversing the harmful trends towards inequality that exist in European society and to the move towards a fairer Europe.	Nous considérons qu'ils recèlent une capacité spéciale à créer des emplois dans les territoires les plus pauvres ou les moins développés. De cette manière, nous contribuerions à modifier les tendances négatives des inégalités existantes au sein de la société européenne et à faire progresser une Europe plus juste.
Mr President, we should not forget that the main, strategic objective of the Structural and Cohesion Funds and of their coordination is to achieve economic and social cohesion.	Monsieur le Président, nous ne devrions pas perdre de vue que l'objectif principal et stratégique des fonds structurels et de cohésion, et de leur coordination, est de parvenir à la cohésion économique et sociale.
We are obliged to participate in drafting directives and also in assessing their results.	Il est de notre devoir de participer à l'élaboration des orientations, mais également à l'évaluation des résultats.
We are obliged to do so because we are the representatives of the citizens in a Europe of Citizens and not just in a Europe of States and of Regions.	Et cela parce que nous sommes les représentants des citoyens de l'Europe des citoyens, et pas seulement d'une Europe des États et des régions.
We feel that the Funds are a necessary but insufficient condition for achieving economic and social cohesion.	Nous constatons que les fonds sont une condition nécessaire mais insuffisante pour parvenir à la cohésion économique et sociale.
We might be mistaken in using the gross domestic product per inhabitant as the sole indicator.	Si nous prenons comme seul indicateur le produit intérieur brut par habitant, nous risquons de nous tromper.
Some speakers have already mentioned unemployment and the fall in population.	Certains collègues ont déjà parlé du chômage et de la diminution de la démographie.
